A	B	support	confidence	lift
Paris	Honolulu	0.13043478	0.37500000	0.95833333
Honolulu	San Francisco	0.21739130	0.55555556	0.98290598
San Francisco	Honolulu	0.21739130	0.38461538	0.98290598
Honolulu	Toronto	0.17391304	0.44444444	1.46031746
Toronto	Honolulu	0.17391304	0.57142857	1.46031746
Honolulu	Vancouver	0.17391304	0.44444444	1.70370370
Vancouver	Honolulu	0.17391304	0.66666667	1.70370370
Honolulu	Washington	0.17391304	0.44444444	0.73015873
Washington	Honolulu	0.17391304	0.28571429	0.73015873
Las Vegas	London	0.30434783	0.43750000	1.25781250
London	Las Vegas	0.30434783	0.87500000	1.25781250
Las Vegas	Los Angeles	0.56521739	0.81250000	1.09926471
Los Angeles	Las Vegas	0.56521739	0.76470588	1.09926471
Las Vegas	Miami	0.17391304	0.25000000	0.82142857
Miami	Las Vegas	0.17391304	0.57142857	0.82142857
New Delhi	Las Vegas	0.13043478	1.00000000	1.43750000
Las Vegas	New York	0.56521739	0.81250000	1.09926471
New York	Las Vegas	0.56521739	0.76470588	1.09926471
Las Vegas	Orlando	0.39130435	0.56250000	0.92410714
Orlando	Las Vegas	0.39130435	0.64285714	0.92410714
Las Vegas	Paris	0.30434783	0.43750000	1.25781250
Paris	Las Vegas	0.30434783	0.87500000	1.25781250
Las Vegas	Rome	0.17391304	0.25000000	1.43750000
Rome	Las Vegas	0.17391304	1.00000000	1.43750000
Las Vegas	San Francisco	0.43478261	0.62500000	1.10576923
San Francisco	Las Vegas	0.43478261	0.76923077	1.10576923
Tokyo	Las Vegas	0.13043478	1.00000000	1.43750000
Las Vegas	Toronto	0.26086957	0.37500000	1.23214286
Toronto	Las Vegas	0.26086957	0.85714286	1.23214286
Las Vegas	Vancouver	0.26086957	0.37500000	1.43750000
Vancouver	Las Vegas	0.26086957	1.00000000	1.43750000
Las Vegas	Venice	0.17391304	0.25000000	1.43750000
Venice	Las Vegas	0.17391304	1.00000000	1.43750000
Las Vegas	Washington	0.43478261	0.62500000	1.02678571
Washington	Las Vegas	0.43478261	0.71428571	1.02678571
London	Los Angeles	0.26086957	0.75000000	1.01470588
Los Angeles	London	0.26086957	0.35294118	1.01470588
London	Miami	0.13043478	0.37500000	1.23214286
Miami	London	0.13043478	0.42857143	1.23214286
London	New York	0.30434783	0.87500000	1.18382353
New York	London	0.30434783	0.41176471	1.18382353
London	Orlando	0.17391304	0.50000000	0.82142857
Orlando	London	0.17391304	0.28571429	0.82142857
London	Paris	0.21739130	0.62500000	1.79687500
Paris	London	0.21739130	0.62500000	1.79687500
London	San Francisco	0.21739130	0.62500000	1.10576923
San Francisco	London	0.21739130	0.38461538	1.10576923
London	Toronto	0.17391304	0.50000000	1.64285714
Toronto	London	0.17391304	0.57142857	1.64285714
London	Vancouver	0.13043478	0.37500000	1.43750000
Vancouver	London	0.13043478	0.50000000	1.43750000
London	Washington	0.26086957	0.75000000	1.23214286
Washington	London	0.26086957	0.42857143	1.23214286
Los Angeles	Miami	0.21739130	0.29411765	0.96638655
Miami	Los Angeles	0.21739130	0.71428571	0.96638655
Los Angeles	New York	0.56521739	0.76470588	1.03460208
New York	Los Angeles	0.56521739	0.76470588	1.03460208
Los Angeles	Orlando	0.47826087	0.64705882	1.06302521
Orlando	Los Angeles	0.47826087	0.78571429	1.06302521
Los Angeles	Paris	0.26086957	0.35294118	1.01470588
Paris	Los Angeles	0.26086957	0.75000000	1.01470588
Los Angeles	Rome	0.17391304	0.23529412	1.35294118
Rome	Los Angeles	0.17391304	1.00000000	1.35294118
Los Angeles	San Francisco	0.39130435	0.52941176	0.93665158
San Francisco	Los Angeles	0.39130435	0.69230769	0.93665158
Tokyo	Los Angeles	0.13043478	1.00000000	1.35294118
Los Angeles	Toronto	0.17391304	0.23529412	0.77310924
Toronto	Los Angeles	0.17391304	0.57142857	0.77310924
Los Angeles	Vancouver	0.21739130	0.29411765	1.12745098
Vancouver	Los Angeles	0.21739130	0.83333333	1.12745098
Venice	Los Angeles	0.13043478	0.75000000	1.01470588
Los Angeles	Washington	0.39130435	0.52941176	0.86974790
Washington	Los Angeles	0.39130435	0.64285714	0.86974790
Miami	New York	0.21739130	0.71428571	0.96638655
New York	Miami	0.21739130	0.29411765	0.96638655
Miami	Orlando	0.30434783	1.00000000	1.64285714
Orlando	Miami	0.30434783	0.50000000	1.64285714
Miami	Paris	0.13043478	0.42857143	1.23214286
Paris	Miami	0.13043478	0.37500000	1.23214286
Miami	Washington	0.26086957	0.85714286	1.40816327
Washington	Miami	0.26086957	0.42857143	1.40816327
New Delhi	New York	0.13043478	1.00000000	1.35294118
New York	Orlando	0.47826087	0.64705882	1.06302521
Orlando	New York	0.47826087	0.78571429	1.06302521
New York	Paris	0.26086957	0.35294118	1.01470588
Paris	New York	0.26086957	0.75000000	1.01470588
New York	San Francisco	0.43478261	0.58823529	1.04072398
San Francisco	New York	0.43478261	0.76923077	1.04072398
New York	Toronto	0.21739130	0.29411765	0.96638655
Toronto	New York	0.21739130	0.71428571	0.96638655
New York	Vancouver	0.17391304	0.23529412	0.90196078
Vancouver	New York	0.17391304	0.66666667	0.90196078
New York	Washington	0.43478261	0.58823529	0.96638655
Washington	New York	0.43478261	0.71428571	0.96638655
Orlando	Paris	0.26086957	0.42857143	1.23214286
Paris	Orlando	0.26086957	0.75000000	1.23214286
Orlando	Rome	0.13043478	0.21428571	1.23214286
Rome	Orlando	0.13043478	0.75000000	1.23214286
Orlando	San Francisco	0.26086957	0.42857143	0.75824176
San Francisco	Orlando	0.26086957	0.46153846	0.75824176
Orlando	Toronto	0.17391304	0.28571429	0.93877551
Toronto	Orlando	0.17391304	0.57142857	0.93877551
Orlando	Vancouver	0.13043478	0.21428571	0.82142857
Vancouver	Orlando	0.13043478	0.50000000	0.82142857
Orlando	Washington	0.39130435	0.64285714	1.05612245
Washington	Orlando	0.39130435	0.64285714	1.05612245
Paris	Rome	0.13043478	0.37500000	2.15625000
Rome	Paris	0.13043478	0.75000000	2.15625000
Paris	San Francisco	0.26086957	0.75000000	1.32692308
San Francisco	Paris	0.26086957	0.46153846	1.32692308
Paris	Toronto	0.13043478	0.37500000	1.23214286
Toronto	Paris	0.13043478	0.42857143	1.23214286
Paris	Vancouver	0.13043478	0.37500000	1.43750000
Vancouver	Paris	0.13043478	0.50000000	1.43750000
Paris	Venice	0.13043478	0.37500000	2.15625000
Venice	Paris	0.13043478	0.75000000	2.15625000
Paris	Washington	0.26086957	0.75000000	1.23214286
Washington	Paris	0.26086957	0.42857143	1.23214286
Rome	Venice	0.13043478	0.75000000	4.31250000
Venice	Rome	0.13043478	0.75000000	4.31250000
