A	B	support	confidence	lift
Los Angeles	Mexico City	0.18181818	0.25000000	1.37500000
Mexico City	Los Angeles	0.18181818	1.00000000	1.37500000
Los Angeles	Miami	0.18181818	0.25000000	0.91666667
Miami	Los Angeles	0.18181818	0.66666667	0.91666667
Los Angeles	New York	0.54545455	0.75000000	1.03125000
New York	Los Angeles	0.54545455	0.75000000	1.03125000
Los Angeles	Orlando	0.45454545	0.62500000	0.98214286
Orlando	Los Angeles	0.45454545	0.71428571	0.98214286
Los Angeles	San Francisco	0.27272727	0.37500000	0.68750000
San Francisco	Los Angeles	0.27272727	0.50000000	0.68750000
Los Angeles	Toronto	0.27272727	0.37500000	0.82500000
Toronto	Los Angeles	0.27272727	0.60000000	0.82500000
Los Angeles	Vancouver	0.18181818	0.25000000	1.37500000
Vancouver	Los Angeles	0.18181818	1.00000000	1.37500000
Los Angeles	Washington D.C.	0.45454545	0.62500000	0.98214286
Washington D.C.	Los Angeles	0.45454545	0.71428571	0.98214286
Miami	New York	0.27272727	1.00000000	1.37500000
New York	Miami	0.27272727	0.37500000	1.37500000
Miami	Orlando	0.27272727	1.00000000	1.57142857
Orlando	Miami	0.27272727	0.42857143	1.57142857
Miami	San Francisco	0.18181818	0.66666667	1.22222222
San Francisco	Miami	0.18181818	0.33333333	1.22222222
Miami	Toronto	0.18181818	0.66666667	1.46666667
Toronto	Miami	0.18181818	0.40000000	1.46666667
Miami	Washington D.C.	0.27272727	1.00000000	1.57142857
Washington D.C.	Miami	0.27272727	0.42857143	1.57142857
Nassau	New York	0.18181818	1.00000000	1.37500000
New York	Nassau	0.18181818	0.25000000	1.37500000
Nassau	Orlando	0.18181818	1.00000000	1.57142857
Orlando	Nassau	0.18181818	0.28571429	1.57142857
Nassau	San Juan	0.18181818	1.00000000	5.50000000
San Juan	Nassau	0.18181818	1.00000000	5.50000000
Nassau	Toronto	0.18181818	1.00000000	2.20000000
Toronto	Nassau	0.18181818	0.40000000	2.20000000
New Delhi	New York	0.18181818	1.00000000	1.37500000
New York	New Delhi	0.18181818	0.25000000	1.37500000
New Delhi	Toronto	0.18181818	1.00000000	2.20000000
Toronto	New Delhi	0.18181818	0.40000000	2.20000000
New York	Orlando	0.54545455	0.75000000	1.17857143
Orlando	New York	0.54545455	0.85714286	1.17857143
New York	Paris	0.18181818	0.25000000	1.37500000
Paris	New York	0.18181818	1.00000000	1.37500000
New York	San Francisco	0.36363636	0.50000000	0.91666667
San Francisco	New York	0.36363636	0.66666667	0.91666667
New York	San Juan	0.18181818	0.25000000	1.37500000
San Juan	New York	0.18181818	1.00000000	1.37500000
New York	Toronto	0.36363636	0.50000000	1.10000000
Toronto	New York	0.36363636	0.80000000	1.10000000
New York	Washington D.C.	0.45454545	0.62500000	0.98214286
Washington D.C.	New York	0.45454545	0.71428571	0.98214286
Orlando	San Francisco	0.27272727	0.42857143	0.78571429
San Francisco	Orlando	0.27272727	0.50000000	0.78571429
Orlando	San Juan	0.18181818	0.28571429	1.57142857
San Juan	Orlando	0.18181818	1.00000000	1.57142857
Orlando	Toronto	0.27272727	0.42857143	0.94285714
Toronto	Orlando	0.27272727	0.60000000	0.94285714
Orlando	Washington D.C.	0.36363636	0.57142857	0.89795918
Washington D.C.	Orlando	0.36363636	0.57142857	0.89795918
Paris	San Francisco	0.18181818	1.00000000	1.83333333
San Francisco	Paris	0.18181818	0.33333333	1.83333333
San Francisco	Toronto	0.27272727	0.50000000	1.10000000
Toronto	San Francisco	0.27272727	0.60000000	1.10000000
San Francisco	Washington D.C.	0.36363636	0.66666667	1.04761905
Washington D.C.	San Francisco	0.36363636	0.57142857	1.04761905
San Juan	Toronto	0.18181818	1.00000000	2.20000000
Toronto	San Juan	0.18181818	0.40000000	2.20000000
Toronto	Vancouver	0.18181818	0.40000000	2.20000000
Vancouver	Toronto	0.18181818	1.00000000	2.20000000
Toronto	Washington D.C.	0.36363636	0.80000000	1.25714286
Washington D.C.	Toronto	0.36363636	0.57142857	1.25714286
Vancouver	Washington D.C.	0.18181818	1.00000000	1.57142857
Washington D.C.	Vancouver	0.18181818	0.28571429	1.57142857
