A	B	support	confidence	lift
San Francisco	Venice	0.14285714	0.20000000	0.70000000
Venice	San Francisco	0.14285714	0.50000000	0.70000000
San Francisco	Washington D.C.	0.28571429	0.40000000	0.70000000
Washington D.C.	San Francisco	0.28571429	0.50000000	0.70000000
Seoul	Tokyo	0.14285714	1.00000000	3.50000000
Tokyo	Seoul	0.14285714	0.50000000	3.50000000
Seoul	Toronto	0.14285714	1.00000000	3.50000000
Toronto	Seoul	0.14285714	0.50000000	3.50000000
Seoul	Washington D.C.	0.14285714	1.00000000	1.75000000
Washington D.C.	Seoul	0.14285714	0.25000000	1.75000000
Singapore	Venice	0.14285714	0.50000000	1.75000000
Venice	Singapore	0.14285714	0.50000000	1.75000000
Singapore	Washington D.C.	0.14285714	0.50000000	0.87500000
Washington D.C.	Singapore	0.14285714	0.25000000	0.87500000
Tokyo	Toronto	0.14285714	0.50000000	1.75000000
Toronto	Tokyo	0.14285714	0.50000000	1.75000000
Tokyo	Washington D.C.	0.14285714	0.50000000	0.87500000
Washington D.C.	Tokyo	0.14285714	0.25000000	0.87500000
Toronto	Vancouver	0.14285714	0.50000000	1.75000000
Vancouver	Toronto	0.14285714	0.50000000	1.75000000
Toronto	Venice	0.14285714	0.50000000	1.75000000
Venice	Toronto	0.14285714	0.50000000	1.75000000
Toronto	Washington D.C.	0.28571429	1.00000000	1.75000000
Washington D.C.	Toronto	0.28571429	0.50000000	1.75000000
Vancouver	Venice	0.14285714	0.50000000	1.75000000
Venice	Vancouver	0.14285714	0.50000000	1.75000000
Vancouver	Washington D.C.	0.14285714	0.50000000	0.87500000
Washington D.C.	Vancouver	0.14285714	0.25000000	0.87500000
Venice	Washington D.C.	0.28571429	1.00000000	1.75000000
Washington D.C.	Venice	0.28571429	0.50000000	1.75000000
