A	B	support	confidence	lift
Barcelona	Madrid	0.14285714	1.00000000	7.00000000
Madrid	Barcelona	0.14285714	1.00000000	7.00000000
Barcelona	Miami	0.14285714	1.00000000	2.33333333
Miami	Barcelona	0.14285714	0.33333333	2.33333333
Barcelona	Montreal	0.14285714	1.00000000	3.50000000
Montreal	Barcelona	0.14285714	0.50000000	3.50000000
Barcelona	New York	0.14285714	1.00000000	1.40000000
New York	Barcelona	0.14285714	0.20000000	1.40000000
Barcelona	Orlando	0.14285714	1.00000000	1.16666667
Orlando	Barcelona	0.14285714	0.16666667	1.16666667
Barcelona	Paris	0.14285714	1.00000000	1.40000000
Paris	Barcelona	0.14285714	0.20000000	1.40000000
Barcelona	Rome	0.14285714	1.00000000	2.33333333
Rome	Barcelona	0.14285714	0.33333333	2.33333333
Barcelona	San Francisco	0.14285714	1.00000000	1.40000000
San Francisco	Barcelona	0.14285714	0.20000000	1.40000000
Barcelona	Seoul	0.14285714	1.00000000	7.00000000
Seoul	Barcelona	0.14285714	1.00000000	7.00000000
Barcelona	Sydney	0.14285714	1.00000000	2.33333333
Sydney	Barcelona	0.14285714	0.33333333	2.33333333
Barcelona	Tokyo	0.14285714	1.00000000	3.50000000
Tokyo	Barcelona	0.14285714	0.50000000	3.50000000
Barcelona	Toronto	0.14285714	1.00000000	3.50000000
Toronto	Barcelona	0.14285714	0.50000000	3.50000000
Barcelona	Venice	0.14285714	1.00000000	3.50000000
Venice	Barcelona	0.14285714	0.50000000	3.50000000
Barcelona	Washington D.C.	0.14285714	1.00000000	1.75000000
Washington D.C.	Barcelona	0.14285714	0.25000000	1.75000000
Beijing	Berlin	0.28571429	0.66666667	2.33333333
Berlin	Beijing	0.28571429	1.00000000	2.33333333
Beijing	Boston	0.42857143	1.00000000	2.33333333
Boston	Beijing	0.42857143	1.00000000	2.33333333
Beijing	Cancun	0.42857143	1.00000000	1.75000000
Cancun	Beijing	0.42857143	0.75000000	1.75000000
Beijing	Chicago	0.42857143	1.00000000	1.75000000
Chicago	Beijing	0.42857143	0.75000000	1.75000000
Beijing	Hong Kong	0.28571429	0.66666667	2.33333333
Hong Kong	Beijing	0.28571429	1.00000000	2.33333333
Beijing	Honolulu	0.28571429	0.66666667	1.55555556
Honolulu	Beijing	0.28571429	0.66666667	1.55555556
Beijing	Las Vegas	0.42857143	1.00000000	1.16666667
Las Vegas	Beijing	0.42857143	0.50000000	1.16666667
Beijing	London	0.28571429	0.66666667	1.55555556
London	Beijing	0.28571429	0.66666667	1.55555556
Beijing	Los Angeles	0.42857143	1.00000000	1.00000000
Los Angeles	Beijing	0.42857143	0.42857143	1.00000000
Beijing	Madrid	0.14285714	0.33333333	2.33333333
Madrid	Beijing	0.14285714	1.00000000	2.33333333
Beijing	Miami	0.14285714	0.33333333	0.77777778
Miami	Beijing	0.14285714	0.33333333	0.77777778
Beijing	Montreal	0.14285714	0.33333333	1.16666667
Montreal	Beijing	0.14285714	0.50000000	1.16666667
Beijing	New York	0.42857143	1.00000000	1.40000000
New York	Beijing	0.42857143	0.60000000	1.40000000
Beijing	Orlando	0.42857143	1.00000000	1.16666667
Orlando	Beijing	0.42857143	0.50000000	1.16666667
Beijing	Paris	0.42857143	1.00000000	1.40000000
Paris	Beijing	0.42857143	0.60000000	1.40000000
Beijing	Rome	0.28571429	0.66666667	1.55555556
Rome	Beijing	0.28571429	0.66666667	1.55555556
Beijing	San Francisco	0.42857143	1.00000000	1.40000000
San Francisco	Beijing	0.42857143	0.60000000	1.40000000
Beijing	Seoul	0.14285714	0.33333333	2.33333333
Seoul	Beijing	0.14285714	1.00000000	2.33333333
Beijing	Shanghai	0.14285714	0.33333333	2.33333333
Shanghai	Beijing	0.14285714	1.00000000	2.33333333
Beijing	Sydney	0.28571429	0.66666667	1.55555556
Sydney	Beijing	0.28571429	0.66666667	1.55555556
Beijing	Tokyo	0.28571429	0.66666667	2.33333333
Tokyo	Beijing	0.28571429	1.00000000	2.33333333
Beijing	Toronto	0.14285714	0.33333333	1.16666667
Toronto	Beijing	0.14285714	0.50000000	1.16666667
Beijing	Vancouver	0.14285714	0.33333333	1.16666667
Vancouver	Beijing	0.14285714	0.50000000	1.16666667
Beijing	Venice	0.28571429	0.66666667	2.33333333
Venice	Beijing	0.28571429	1.00000000	2.33333333
Beijing	Washington D.C.	0.42857143	1.00000000	1.75000000
Washington D.C.	Beijing	0.42857143	0.75000000	1.75000000
Berlin	Boston	0.28571429	1.00000000	2.33333333
Boston	Berlin	0.28571429	0.66666667	2.33333333
Berlin	Cancun	0.28571429	1.00000000	1.75000000
Cancun	Berlin	0.28571429	0.50000000	1.75000000
Berlin	Chicago	0.28571429	1.00000000	1.75000000
Chicago	Berlin	0.28571429	0.50000000	1.75000000
Berlin	Hong Kong	0.28571429	1.00000000	3.50000000
Hong Kong	Berlin	0.28571429	1.00000000	3.50000000
Berlin	Honolulu	0.14285714	0.50000000	1.16666667
Honolulu	Berlin	0.14285714	0.33333333	1.16666667
Berlin	Las Vegas	0.28571429	1.00000000	1.16666667
Las Vegas	Berlin	0.28571429	0.33333333	1.16666667
Berlin	London	0.14285714	0.50000000	1.16666667
London	Berlin	0.14285714	0.33333333	1.16666667
Berlin	Los Angeles	0.28571429	1.00000000	1.00000000
Los Angeles	Berlin	0.28571429	0.28571429	1.00000000
Berlin	Madrid	0.14285714	0.50000000	3.50000000
Madrid	Berlin	0.14285714	1.00000000	3.50000000
Berlin	Miami	0.14285714	0.50000000	1.16666667
Miami	Berlin	0.14285714	0.33333333	1.16666667
Berlin	Montreal	0.14285714	0.50000000	1.75000000
Montreal	Berlin	0.14285714	0.50000000	1.75000000
Berlin	New York	0.28571429	1.00000000	1.40000000
New York	Berlin	0.28571429	0.40000000	1.40000000
Berlin	Orlando	0.28571429	1.00000000	1.16666667
Orlando	Berlin	0.28571429	0.33333333	1.16666667
Berlin	Paris	0.28571429	1.00000000	1.40000000
Paris	Berlin	0.28571429	0.40000000	1.40000000
Berlin	Rome	0.28571429	1.00000000	2.33333333
Rome	Berlin	0.28571429	0.66666667	2.33333333
Berlin	San Francisco	0.28571429	1.00000000	1.40000000
San Francisco	Berlin	0.28571429	0.40000000	1.40000000
Berlin	Seoul	0.14285714	0.50000000	3.50000000
Seoul	Berlin	0.14285714	1.00000000	3.50000000
Berlin	Sydney	0.28571429	1.00000000	2.33333333
Sydney	Berlin	0.28571429	0.66666667	2.33333333
Berlin	Tokyo	0.28571429	1.00000000	3.50000000
Tokyo	Berlin	0.28571429	1.00000000	3.50000000
Berlin	Toronto	0.14285714	0.50000000	1.75000000
